Tamanho,Tempo,Algoritmo
55,0.000195498996617971,Força Bruta
55,0.00013095000031171367,Divisão e Conquista
55,0.00017502199989394285,Força Bruta
55,0.0001253159971383866,Divisão e Conquista
55,0.00017278100131079555,Força Bruta
55,0.0001235370000358671,Divisão e Conquista
55,0.0005069420003565028,Força Bruta
55,0.00013558900172938593,Divisão e Conquista
64,0.0006381999992299825,Força Bruta
64,0.00016863500059116632,Divisão e Conquista
64,0.0002134629976353608,Força Bruta
64,0.00015535100101260468,Divisão e Conquista
64,0.00022979999994277023,Força Bruta
64,0.00015870499919401482,Divisão e Conquista
64,0.0002280570006405469,Força Bruta
64,0.00016219499957514927,Divisão e Conquista
64,0.0002954070005216636,Força Bruta
64,0.00015586899826303124,Divisão e Conquista
64,0.00023708599837846123,Força Bruta
64,0.00015680299839004874,Divisão e Conquista
64,0.0005927940001129173,Força Bruta
64,0.0002193100008298643,Divisão e Conquista
64,0.0005616810012725182,Força Bruta
64,0.00017234699771506712,Divisão e Conquista
64,0.00021591699987766333,Força Bruta
64,0.000163084998348495,Divisão e Conquista
64,0.00021498999922187068,Força Bruta
64,0.00016639100067550316,Divisão e Conquista
64,0.0007175729988375679,Força Bruta
64,0.00019174399858457036,Divisão e Conquista
64,0.00021442799697979353,Força Bruta
64,0.00016111399963847362,Divisão e Conquista
64,0.0002356450022489298,Força Bruta
64,0.00017281899999943562,Divisão e Conquista
73,0.00027595800202107057,Força Bruta
73,0.00017471799947088584,Divisão e Conquista
73,0.00027962700187345035,Força Bruta
73,0.00019453200002317317,Divisão e Conquista
73,0.0002768000013020355,Força Bruta
73,0.00017831100194598548,Divisão e Conquista
73,0.00027822500123875216,Força Bruta
73,0.0001774869997461792,Divisão e Conquista
73,0.0002795390028040856,Força Bruta
73,0.00018785500287776813,Divisão e Conquista
73,0.0002796769986161962,Força Bruta
73,0.00016739199782023206,Divisão e Conquista
73,0.00027831999977934174,Força Bruta
73,0.0001857029965321999,Divisão e Conquista
73,0.00027740199948311783,Força Bruta
73,0.0001735259975248482,Divisão e Conquista
73,0.00027758299984270707,Força Bruta
73,0.0001858180003182497,Divisão e Conquista
73,0.00027769799999077804,Força Bruta
73,0.0001811319998523686,Divisão e Conquista
73,0.0002797699999064207,Força Bruta
73,0.00018531900059315376,Divisão e Conquista
73,0.0002799640024022665,Força Bruta
73,0.0001713720012048725,Divisão e Conquista
73,0.00031706799927633256,Força Bruta
73,0.0001920810027513653,Divisão e Conquista
82,0.0003509859998303,Força Bruta
82,0.00018272499801241793,Divisão e Conquista
82,0.0003739710009540431,Força Bruta
82,0.00021463300072355196,Divisão e Conquista
82,0.00034967999818036333,Força Bruta
82,0.00020702099936897866,Divisão e Conquista
82,0.0003486800014798064,Força Bruta
82,0.00021530799858737737,Divisão e Conquista
82,0.00038005399983376265,Força Bruta
82,0.00020751100237248465,Divisão e Conquista
82,0.00034913099807454273,Força Bruta
82,0.00020750100156874396,Divisão e Conquista
82,0.00034772700018947944,Força Bruta
82,0.00020778399994014762,Divisão e Conquista
82,0.00041326800055685453,Força Bruta
82,0.00026106800214620307,Divisão e Conquista
82,0.0009845809981925413,Força Bruta
82,0.0006333570017886814,Divisão e Conquista
82,0.0003512399998726323,Força Bruta
82,0.0001949640027305577,Divisão e Conquista
82,0.000495915999636054,Força Bruta
82,0.00018013600129052065,Divisão e Conquista
82,0.0003609669984143693,Força Bruta
82,0.0001940929978445638,Divisão e Conquista
82,0.0003488750007818453,Força Bruta
82,0.00019401499957893975,Divisão e Conquista
91,0.00042992900125682354,Força Bruta
91,0.0002073719988402445,Divisão e Conquista
91,0.00043911200191359967,Força Bruta
91,0.00020693100304924883,Divisão e Conquista
91,0.0004295110011298675,Força Bruta
91,0.0002139589996659197,Divisão e Conquista
91,0.00043091399857075885,Força Bruta
91,0.00021167299928492866,Divisão e Conquista
91,0.0004511010010901373,Força Bruta
91,0.00020800399943254888,Divisão e Conquista
91,0.00043634800022118725,Força Bruta
91,0.0002165040023101028,Divisão e Conquista
91,0.00042897099774563685,Força Bruta
91,0.00021457399998325855,Divisão e Conquista
91,0.00042818099973374046,Força Bruta
91,0.0002020840001932811,Divisão e Conquista
91,0.0004368349982541986,Força Bruta
91,0.00021761199968750589,Divisão e Conquista
91,0.00043050100066466257,Força Bruta
91,0.00023337799939326942,Divisão e Conquista
91,0.0004293589990993496,Força Bruta
91,0.00020490599854383618,Divisão e Conquista
91,0.0004298169988032896,Força Bruta
91,0.00020919699818477966,Divisão e Conquista
91,0.0004387419976410456,Força Bruta
91,0.00019359699945198372,Divisão e Conquista
100,0.000527454998518806,Força Bruta
100,0.00022286100283963606,Divisão e Conquista
100,0.000514264997036662,Força Bruta
100,0.0002570910000940785,Divisão e Conquista
100,0.0005170059994270559,Força Bruta
100,0.00046254799963207915,Divisão e Conquista
100,0.0015946120001899544,Força Bruta
100,0.00032855399695108645,Divisão e Conquista
100,0.0005180509979254566,Força Bruta
100,0.0003557050004019402,Divisão e Conquista
100,0.0010032659993157722,Força Bruta
100,0.00023273400074685924,Divisão e Conquista
100,0.000876982001500437,Força Bruta
100,0.0002260469991597347,Divisão e Conquista
100,0.0008758929980103858,Força Bruta
100,0.00023483500262955204,Divisão e Conquista
100,0.0005512360003194772,Força Bruta
100,0.00023846199837862514,Divisão e Conquista
100,0.000537594998604618,Força Bruta
100,0.00023328200040850788,Divisão e Conquista
100,0.0005553730006795377,Força Bruta
100,0.0002346619985473808,Divisão e Conquista
100,0.0008765260026848409,Força Bruta
100,0.00024050700085354038,Divisão e Conquista
100,0.0005292010027915239,Força Bruta
100,0.0002449669991619885,Divisão e Conquista
109,0.0006985250001889654,Força Bruta
109,0.00028282000130275264,Divisão e Conquista
109,0.0006418120028683916,Força Bruta
109,0.00027258200134383515,Divisão e Conquista
109,0.0006382200008374639,Força Bruta
109,0.00027828200109070167,Divisão e Conquista
109,0.0006256529995880555,Força Bruta
109,0.0002738249968388118,Divisão e Conquista
109,0.000674935999995796,Força Bruta
109,0.0004978720025974326,Divisão e Conquista
109,0.0006278460023168009,Força Bruta
109,0.00027947899798164144,Divisão e Conquista
109,0.0006266589989536442,Força Bruta
109,0.0002919789985753596,Divisão e Conquista
109,0.0008944569999584928,Força Bruta
109,0.00040116799937095493,Divisão e Conquista
109,0.0007282560000021476,Força Bruta
109,0.0002771440013020765,Divisão e Conquista
109,0.0010324629984097555,Força Bruta
109,0.0004784260017913766,Divisão e Conquista
109,0.000993284000287531,Força Bruta
109,0.0002572070006863214,Divisão e Conquista
109,0.0008281729969894513,Força Bruta
109,0.00028892900081700645,Divisão e Conquista
109,0.0006313039993983693,Força Bruta
109,0.0002797349989123177,Divisão e Conquista
118,0.0007304489990929142,Força Bruta
118,0.0003296150025562383,Divisão e Conquista
118,0.0007317310009966604,Força Bruta
118,0.0003130889999738429,Divisão e Conquista
118,0.0008618930005468428,Força Bruta
118,0.0003110759971605148,Divisão e Conquista
118,0.0007809840026311576,Força Bruta
118,0.00032112400003825314,Divisão e Conquista
118,0.0009160650006379001,Força Bruta
118,0.00029904099937994033,Divisão e Conquista
118,0.0010317650012439117,Força Bruta
118,0.00031526699967798777,Divisão e Conquista
118,0.0007261350001499522,Força Bruta
118,0.00033221099874936044,Divisão e Conquista
118,0.0009169500008283649,Força Bruta
118,0.0003180210005666595,Divisão e Conquista
118,0.0007303190031962004,Força Bruta
118,0.00032198900225921534,Divisão e Conquista
118,0.0007187890005297959,Força Bruta
118,0.00034238599982927553,Divisão e Conquista
118,0.0007175160026235972,Força Bruta
118,0.00034159799906774424,Divisão e Conquista
118,0.0007212910022644792,Força Bruta
